5,7,5,5,5,1,2,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1
5,7,5,5,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
8,5,5,5,1,1,6,1,1,6,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,2,2,2,1,1,2,3,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
5,7,5,9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,2,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,
5,7,5,1,6,1,6,6,6,1,1,1,1,1,1,1,1,1,6,6,2,1,1,1,6,2,2,3,2,3,2,1,6,2,2,6,2,3,2,3,2,2,2,2,1,1,2,2,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,
5,5,5,7,5,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,6,1,2,1,1,1,6,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,,,,,,,,,
5,7,5,5,1,1,6,1,2,1,1,2,1,1,1,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,5,5,5,6,6,6,1,1,6,1,6,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,,,,,
7,5,7,5,7,5,1,1,6,1,1,1,1,1,6,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,2,1,1,1,2,1,,,,,,,,,,,,,,,,,
5,7,5,5,6,6,1,1,2,2,2,1,1,1,6,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,6,1,1,1,1,1,1,,,,,,,,,,,,,,
5,7,5,7,5,5,1,1,6,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,6,1,1,2,2,1,1,1,1,1,6,1,1,2,2,2,3,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,,
7,5,5,9,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,1,2,6,1,2,2,1,1,1,1,2,6,1,1,6,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,,,,,,,,,,,,
