7,5,7,5,7,5,2,1,1,2,6,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,7,9,8,1,2,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
5,7,5,7,5,1,2,2,1,1,1,2,1,2,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,,,,,,,,,,,,,,,,
5,7,5,7,5,5,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,,,,,,,,,,,,,
5,5,8,5,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,5,7,8,6,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
5,5,5,7,5,7,2,2,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,5,5,7,1,1,1,1,1,2,2,1,1,1,1,1,1,9,1,1,1,1,1,9,1,1,1,9,1,1,1,1,1,9,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
7,5,5,7,2,2,2,1,1,2,1,2,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
5,7,5,8,9,8,1,1,1,2,1,6,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,6,6,1,1,,,,,,,,,,,,
5,7,5,7,8,5,2,2,2,2,6,2,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,6,,,,,,,,,,,,,,,,,,
5,8,5,5,8,1,1,1,2,1,1,1,2,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
5,7,5,7,5,7,5,1,2,1,1,1,2,6,2,2,1,2,1,2,1,1,1,1,6,1,6,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
5,7,5,8,5,2,2,2,2,1,1,1,2,6,1,1,1,1,6,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5,8,5,9,1,1,1,2,1,2,2,1,2,1,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,7,5,2,2,1,6,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5,7,5,8,5,2,1,2,1,2,2,6,2,6,1,1,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
7,5,7,5,7,5,1,1,1,1,2,2,2,2,1,1,1,6,1,1,6,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
